geoid,gisjoin,state_fips,state_name,state_abbr,county_name,county_fips,tract_fips,area_km2,centroid_x,very_low_mf_own_hh,very_low_mf_rent_hh,very_low_sf_own_hh,very_low_sf_rent_hh,low_mf_own_hh,low_mf_rent_hh,low_sf_own_hh,low_sf_rent_hh,mod_mf_own_hh,mod_mf_rent_hh,mod_sf_own_hh,mod_sf_rent_hh,mid_mf_own_hh,mid_mf_rent_hh,mid_sf_own_hh,mid_sf_rent_hh,high_mf_own_hh,high_mf_rent_hh,high_sf_own_hh,high_sf_rent_hh,very_low_mf_own_bldg_cnt,very_low_mf_rent_bldg_cnt,high_sf_rent_elep_hh,company_na,company_ty,avg_monthly_consumption_kwh,avg_monthly_bill_dlrs,dlrs_kwh,avg_pbi_usd_p_kwh,avg_cbi_usd_p_w,avg_ibi_pct,hh_size_1,hh_size_2,hh_size_3,hh_size_4,fam_med_income,hh_med_income,hh_gini_index,pop_over_65,pop_under_18,hu_monthly_owner_costs_lessthan_1000dlrs,hu_monthly_owner_costs_greaterthan_1000dlrs,hu_own,hu_rent,hu_vintage_2010toafter,hu_vintage_2000to2009,hu_vintage_1980to1999,hu_vintage_1960to1970,hu_vintage_1940to1959,hu_vintage_1939toearlier,climate_zone_description,locale
53033025006,G5300330025006,53,Washington,WA,King County,33,25006,22.39948527,-122.0986761,3,43,30,16,6,51,40,9,2,43,50,22,11,90,140,31,128,233,1062,80,0.8993,5.4726,87.6762795,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,304,754,423,658,172667,148750,0.3963,657,1660,198,1338,1258,1759,70,1345,638,63,0,23,Mixed,Rural - Fringe
53033027701,G5300330027701,53,Washington,WA,King County,33,27701,44.15732144,-122.4753276,13,253,95,81,20,153,145,61,18,204,160,53,15,98,205,43,67,181,608,59,3.0984,19.4998,87.6762795,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,947,867,470,295,92045,64007,0.4733,979,951,597,1178,1191,1278,10,239,874,641,404,411,Mixed,Rural - Fringe
53033027702,G5300330027702,53,Washington,WA,King County,33,27702,51.48440671,-122.4701673,3,87,45,44,8,127,108,30,13,103,97,29,24,162,238,48,76,171,658,54,0.6387,9.2203,87.6762795,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,659,1080,151,288,99572,81757,0.441,1169,688,571,1303,1208,547,0,218,813,457,318,372,Mixed,Suburban - Large
53053072603,G5300530072603,53,Washington,WA,Pierce County,53,72603,92.03234036,-122.7406921,3,103,83,77,0,67,63,45,3,135,214,77,7,96,214,64,17,71,388,36,1.3374,17.3198,118.314845,Peninsula Light Co,DistCoop,1206.517905,116.0896194,0.096218729,,,,490,970,124,292,51744,50897,0.4132,1007,897,731,871,1002,619,82,538,715,381,98,62,Mixed,Rural - Distant
53053072906,G5300530072906,53,Washington,WA,Pierce County,53,72906,231.0892399,-122.5452888,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,18,2,0,0,118.314845,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,8,4,0,16,,101875,0.1664,3,54,0,8,8,91,0,0,4,3,0,21,Mixed,Rural - Fringe
53053073117,G5300530073117,53,Washington,WA,Pierce County,53,73117,49.66266592,-122.3266221,1,48,33,36,0,35,34,29,3,63,111,48,9,72,189,53,18,71,368,35,0.0108,8.6088,118.314845,Ohop Mutual Light Co,DistCoop,1448.026106,124.8010188,0.086186995,,,,224,516,240,360,68993,61094,0.409,566,783,408,676,718,853,51,182,608,383,89,27,Mixed,Rural - Fringe
53053073119,G5300530073119,53,Washington,WA,Pierce County,53,73119,99.79089567,-122.2166391,1,7,1,11,0,9,20,13,1,46,110,28,2,81,142,50,18,84,442,59,0.0956,1.0958,118.314845,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,190,642,150,204,88077,77083,0.2854,434,384,320,757,837,287,105,293,460,217,36,75,Mixed,Rural - Fringe
53073000806,G5300730000806,53,Washington,WA,Whatcom County,73,806,110.526452,-122.3002366,2,164,93,94,7,80,96,52,6,130,171,63,20,96,316,57,71,176,1200,100,1.0444,21.0694,82.2701935,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,657,1327,678,626,74438,73273,0.3844,1413,1829,663,1979,2072,2221,41,998,1379,661,106,103,Mixed,Rural - Fringe
53073001100,G5300730001100,53,Washington,WA,Whatcom County,73,1100,5.741693148,-122.503223,7,222,132,117,4,76,109,47,15,115,223,52,10,118,327,62,64,116,985,59,2.4053,27.8822,82.2701935,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,1036,1328,403,366,94712,60686,0.5076,1559,833,972,1025,1091,2330,18,490,638,973,303,711,Mixed,City - Small
53073001202,G5300730001202,53,Washington,WA,Whatcom County,73,1202,61.03484536,-122.4281428,4,89,86,66,3,87,87,48,8,111,149,51,8,62,179,24,20,76,433,39,1.4874,11.9359,82.2701935,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,676,693,203,189,84167,49746,0.5549,1188,479,530,483,484,1432,8,288,693,507,92,173,Mixed,Rural - Fringe
53073010200,G5300730010200,53,Washington,WA,Whatcom County,73,10200,184.2240249,-122.3009796,7,111,80,80,4,78,105,36,13,106,246,90,18,130,381,75,62,141,820,66,0.4216,15.1133,82.2701935,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,393,1151,569,808,63816,58829,0.5116,1044,2712,888,1339,1657,2339,76,553,828,612,221,631,Mixed,Rural - Fringe
53073010301,G5300730010301,53,Washington,WA,Whatcom County,73,10301,93.89932674,-122.5300845,5,154,104,81,4,67,115,46,5,118,192,52,12,88,256,51,48,102,623,51,1.7139,20.8598,82.2701935,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,568,890,353,564,63697,56832,0.3843,1208,1747,881,989,1183,1684,26,337,928,607,276,201,Mixed,Rural - Fringe
